 -- Frame 187 Framerate: 23.3 [Okay Framerate]
 -- Frame 188 Framerate: 23.9 [Okay Framerate]
 -- Frame 189 Framerate: 30.4 [Good Framerate]
 -- Frame 190 Framerate: 40.9 [Very Good Framerate]
 -- Frame 191 Framerate: 28.7 [Good Framerate]
 -- Frame 192 Framerate: 37.5 [Good Framerate]
 -- Frame 193 Framerate: 24.8 [Okay Framerate]
 -- Frame 194 Framerate: 30.2 [Good Framerate]
 -- Frame 195 Framerate: 48.9 [Very Good Framerate]
 -- Frame 196 Framerate: 24.2 [Okay Framerate]
 -- Frame 197 Framerate: 29.5 [Good Framerate]
 -- Frame 198 Framerate: 25.9 [Good Framerate]
 -- Frame 199 Framerate: 30.9 [Good Framerate]
 -- Frame 200 Framerate: 42.2 [Very Good Framerate]
 -- Frame 201 Framerate: 31.5 [Good Framerate]
 -- Frame 202 Framerate: 42.5 [Very Good Framerate]
 -- Frame 203 Framerate: 30.8 [Good Framerate]
 -- Frame 204 Framerate: 41.2 [Very Good Framerate]
 -- Frame 205 Framerate: 30.3 [Good Framerate]
 -- Frame 206 Framerate: 40.5 [Very Good Framerate]
 -- Frame 207 Framerate: 31.2 [Good Framerate]
 -- Frame 208 Framerate: 40.9 [Very Good Framerate]
 -- Frame 209 Framerate: 30.8 [Good Framerate]
 -- Frame 210 Framerate: 39.7 [Good Framerate]
 -- Frame 211 Framerate: 30.1 [Good Framerate]
 -- Frame 212 Framerate: 43.1 [Very Good Framerate]
 -- Frame 213 Framerate: 31.2 [Good Framerate]
 -- Frame 214 Framerate: 43.5 [Very Good Framerate]
 -- Frame 215 Framerate: 30.4 [Good Framerate]
 -- Frame 216 Framerate: 40.3 [Very Good Framerate]
 -- Frame 217 Framerate: 29.9 [Good Framerate]
 -- Frame 218 Framerate: 37.7 [Good Framerate]
 -- Frame 219 Framerate: 28.7 [Good Framerate]
 -- Frame 220 Framerate: 38.5 [Good Framerate]
 -- Frame 221 Framerate: 29.4 [Good Framerate]
 -- Frame 222 Framerate: 35.6 [Good Framerate]
 -- Frame 223 Framerate: 26.2 [Good Framerate]
 -- Frame 224 Framerate: 26.3 [Good Framerate]
 -- Frame 225 Framerate: 32.3 [Good Framerate]
 -- Frame 226 Framerate: 25.9 [Good Framerate]
 -- Frame 227 Framerate: 31.7 [Good Framerate]
 -- Frame 228 Framerate: 25.3 [Good Framerate]
 -- Frame 229 Framerate: 32.4 [Good Framerate]
 -- Frame 230 Framerate: 23.8 [Okay Framerate]
 -- Frame 231 Framerate: 31.1 [Good Framerate]
 -- Frame 232 Framerate: 1.1 [Very Low Framerate]
 -- Frame 233 Framerate: 0.8 [Very Low Framerate]
 -- Frame 234 Framerate: 1.1 [Very Low Framerate]
 -- Frame 235 Framerate: 19.9 [Low Framerate]
