 -- Frame 198 Framerate: 21.5 [Okay Framerate]
 -- Frame 199 Framerate: 21.3 [Okay Framerate]
 -- Frame 200 Framerate: 20.7 [Okay Framerate]
 -- Frame 201 Framerate: 20.7 [Okay Framerate]
 -- Frame 202 Framerate: 20.6 [Okay Framerate]
 -- Frame 203 Framerate: 19.5 [Low Framerate]
 -- Frame 204 Framerate: 21.4 [Okay Framerate]
 -- Frame 205 Framerate: 19.8 [Low Framerate]
 -- Frame 206 Framerate: 20.4 [Okay Framerate]
 -- Frame 207 Framerate: 20.0 [Okay Framerate]
 -- Frame 208 Framerate: 20.8 [Okay Framerate]
 -- Frame 209 Framerate: 21.1 [Okay Framerate]
 -- Frame 210 Framerate: 19.0 [Low Framerate]
 -- Frame 211 Framerate: 18.9 [Low Framerate]
 -- Frame 212 Framerate: 16.0 [Low Framerate]
 -- Frame 213 Framerate: 20.9 [Okay Framerate]
 -- Frame 214 Framerate: 19.3 [Low Framerate]
 -- Frame 215 Framerate: 19.9 [Low Framerate]
 -- Frame 216 Framerate: 18.1 [Low Framerate]
 -- Frame 217 Framerate: 16.7 [Low Framerate]
 -- Frame 218 Framerate: 6.7 [Very Low Framerate]
 -- Frame 219 Framerate: 9.9 [Very Low Framerate]
 -- Frame 220 Framerate: 9.2 [Very Low Framerate]
 -- Frame 221 Framerate: 11.1 [Low Framerate]
 -- Frame 222 Framerate: 11.7 [Low Framerate]
 -- Frame 223 Framerate: 17.0 [Low Framerate]
 -- Frame 224 Framerate: 9.0 [Very Low Framerate]
 -- Frame 225 Framerate: 11.2 [Low Framerate]
 -- Frame 226 Framerate: 11.0 [Low Framerate]
 -- Frame 227 Framerate: 17.6 [Low Framerate]
 -- Frame 228 Framerate: 13.2 [Low Framerate]
 -- Frame 229 Framerate: 17.4 [Low Framerate]
 -- Frame 230 Framerate: 17.3 [Low Framerate]
 -- Frame 231 Framerate: 15.7 [Low Framerate]
 -- Frame 232 Framerate: 18.0 [Low Framerate]
 -- Frame 233 Framerate: 18.1 [Low Framerate]
 -- Frame 234 Framerate: 16.4 [Low Framerate]
 -- Frame 235 Framerate: 17.4 [Low Framerate]
 -- Frame 236 Framerate: 18.1 [Low Framerate]
 -- Frame 237 Framerate: 11.6 [Low Framerate]
 -- Frame 238 Framerate: 18.5 [Low Framerate]
 -- Frame 239 Framerate: 19.5 [Low Framerate]
 -- Frame 240 Framerate: 20.3 [Okay Framerate]
 -- Frame 241 Framerate: 16.9 [Low Framerate]
 -- Frame 242 Framerate: 16.9 [Low Framerate]
 -- Frame 243 Framerate: 17.9 [Low Framerate]
 -- Frame 244 Framerate: 19.3 [Low Framerate]
 -- Frame 245 Framerate: 19.7 [Low Framerate]
 -- Frame 246 Framerate: 16.6 [Low Framerate]
 -- Frame 247 Framerate: 11.7 [Low Framerate]
 -- Frame 248 Framerate: 19.1 [Low Framerate]
 -- Frame 249 Framerate: 18.8 [Low Framerate]
 -- Frame 250 Framerate: 11.6 [Low Framerate]
 -- Frame 251 Framerate: 15.7 [Low Framerate]
 -- Frame 252 Framerate: 19.4 [Low Framerate]
 -- Frame 253 Framerate: 18.4 [Low Framerate]
 -- Frame 254 Framerate: 18.5 [Low Framerate]
 -- Frame 255 Framerate: 18.4 [Low Framerate]
 -- Frame 256 Framerate: 17.9 [Low Framerate]
 -- Frame 257 Framerate: 16.2 [Low Framerate]
 -- Frame 258 Framerate: 18.3 [Low Framerate]
 -- Frame 259 Framerate: 16.4 [Low Framerate]
 -- Frame 260 Framerate: 20.6 [Okay Framerate]
